"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.639118234E0,-1.529132724E0,-7.828228951E0,-5.876207352E-1
1.643942192E0,-1.347978115E0,-7.786318302E0,-5.431957245E-1
1.648766098E0,-1.298967719E0,-7.568624496E0,-3.750514984E-1
1.653590057E0,-1.404676199E0,-7.111925125E0,-2.287797928E-1
1.658413963E0,-9.940205812E-1,-7.082644939E0,-1.805200577E-1
1.663237921E0,-9.212840796E-1,-6.788203239E0,8.278274536E-2
1.668061827E0,-8.948606849E-1,-6.640205383E0,-9.571075439E-3
1.672885734E0,-8.157382011E-1,-6.495315552E0,-1.225261688E-1
1.677709692E0,-5.801597238E-1,-6.680336952E0,-2.585077286E-1
1.682533546E0,-3.571626842E-1,-6.710323811E0,-3.006706238E-1
1.687357557E0,-2.429988980E-1,-6.881617546E0,-4.283838272E-1
1.692181463E0,-1.484586298E-1,-7.048212528E0,-6.797142029E-1
1.697005369E0,-1.709032208E-1,-7.067085743E0,-7.490520477E-1
1.701829327E0,-1.940705478E-1,-7.160491467E0,-8.851385117E-1
1.706653234E0,-1.676484495E-1,-7.275854111E0,-1.032913208E0
1.711477192E0,-6.387555599E-2,-7.489096165E0,-9.894456863E-1
1.716301098E0,-5.117790401E-2,-7.897565365E0,-1.031900406E0
1.721125004E0,2.408158034E-2,-8.231010437E0,-9.856681824E-1
1.725948963E0,4.359865189E-2,-8.489417076E0,-8.770332336E-1
1.730772869E0,-1.500360817E-1,-8.313124657E0,-8.133268356E-1
1.735596827E0,-1.504711807E-1,-8.505081177E0,-7.345695496E-1
1.740420734E0,9.960818291E-2,-8.649319649E0,-3.377141953E-1
1.745244640E0,-6.365668774E-2,-8.919986725E0,-1.795825958E-1
1.750068598E0,-3.824762106E-1,-8.856380463E0,-3.239183426E-1
1.754892504E0,-2.135753632E-1,-8.772590637E0,-6.861495972E-2
1.759716463E0,-1.280113459E-1,-8.859717369E0,2.340316772E-1
1.764540369E0,-2.261242270E-1,-8.814374924E0,2.207660675E-1
