"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.256093790E-1,-1.584048629E0,-1.014556789E1,8.585447311E0
8.280213590E-1,-1.512263894E0,-1.037527943E1,8.571090698E0
8.304333380E-1,-1.435693622E0,-1.043749237E1,8.585447311E0
8.328452650E-1,-1.493121386E0,-1.044706345E1,8.599804878E0
8.352572440E-1,-1.531406522E0,-1.042792130E1,8.618947029E0
8.376692230E-1,-1.569691658E0,-1.035613632E1,8.628518105E0
8.400811500E-1,-1.555334687E0,-1.018863869E1,8.676374435E0
8.424931290E-1,-1.521835208E0,-9.954142570E0,8.752944946E0
8.449051090E-1,-1.450050473E0,-9.815358162E0,8.867800713E0
8.473170880E-1,-1.316052437E0,-9.834501266E0,8.977870941E0
8.497290150E-1,-1.268195987E0,-9.901499748E0,9.064012527E0
8.521409940E-1,-1.354337573E0,-9.853643417E0,9.140582085E0
8.545529730E-1,-1.493121386E0,-9.681360245E0,9.183652878E0
8.569649000E-1,-1.569691658E0,-9.470791817E0,9.202795982E0
8.593768790E-1,-1.512263894E0,-9.336793900E0,9.245866776E0
8.617888590E-1,-1.440479279E0,-9.178867340E0,9.375079155E0
8.642008380E-1,-1.301695466E0,-8.992227554E0,9.614361763E0
8.666127650E-1,-1.162911773E0,-8.853444099E0,9.844072342E0
8.690247440E-1,-1.048056364E0,-8.834300995E0,9.982855797E0
8.714367230E-1,-9.571290612E-1,-8.930013657E0,1.004985523E1
8.738486500E-1,-9.092726111E-1,-8.915657043E0,1.012642574E1
8.762606290E-1,-8.135597110E-1,-8.681160927E0,1.031785107E1
8.786726090E-1,-7.944171429E-1,-8.403593063E0,1.056670475E1
8.810845880E-1,-7.609176040E-1,-8.106883049E0,1.084427261E1
8.834965150E-1,-8.087740541E-1,-8.015955925E0,1.096869946E1
8.859084940E-1,-8.614161611E-1,-8.025527000E0,1.087298584E1
8.883204730E-1,-9.332008362E-1,-8.111668587E0,1.060499001E1
8.907324000E-1,-9.523434043E-1,-8.145168304E0,1.038963604E1
8.931443790E-1,-7.992027402E-1,-8.102097511E0,1.040399265E1
8.955563590E-1,-5.216353536E-1,-8.044670105E0,1.057627583E1
8.979682860E-1,-3.732803464E-1,-8.044670105E0,1.073420238E1
9.003802650E-1,-3.780659735E-1,-8.039883614E0,1.082991505E1
9.027922440E-1,-3.684946895E-1,-8.068597794E0,1.072941685E1
9.052042230E-1,-3.541377485E-1,-8.106883049E0,1.049491978E1
9.076161500E-1,-2.536391914E-1,-8.087740898E0,1.031785107E1
9.100281290E-1,-2.057827413E-1,-8.140382767E0,1.019820976E1
9.124401090E-1,-1.579262912E-1,-8.221738815E0,1.010728264E1
9.148520360E-1,-7.178468257E-2,-8.260024071E0,1.002592659E1
9.172640150E-1,2.871387079E-2,-8.307880402E0,9.987641335E0
9.196759940E-1,6.221338734E-2,-8.350951195E0,9.973284721E0
9.220879730E-1,1.292124242E-1,-8.389236450E0,1.001156998E1
9.244999000E-1,1.962114573E-1,-8.437092781E0,1.006899738E1
9.269118790E-1,2.201396823E-1,-8.494520187E0,1.009771156E1
9.293238590E-1,1.914258152E-1,-8.575876236E0,1.007378292E1
9.317357860E-1,1.483550072E-1,-8.709874153E0,9.958928108E0
9.341477650E-1,8.135596663E-2,-8.867800713E0,9.805787086E0
9.365597440E-1,-1.914258115E-2,-9.035298347E0,9.690931320E0
9.389716710E-1,-1.196411327E-1,-9.221938133E0,9.647860527E0
9.413836500E-1,-2.392822653E-1,-9.355937004E0,9.710074425E0
9.437956290E-1,-3.158525825E-1,-9.456435204E0,9.796216011E0
9.462076090E-1,-4.163511395E-1,-9.652647018E0,9.844072342E0
9.486195360E-1,-5.455635786E-1,-9.901499748E0,9.824930191E0
9.510315150E-1,-5.694918036E-1,-9.968499184E0,9.786644936E0
9.534434940E-1,-5.790630579E-1,-9.958928108E0,9.748359680E0
